Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size
"6"" Buffalo Chicken with Grilled Chicken",390.0,0.0,12.0,3.0,0.0,55.0,,44.0,3.0,5,Subway,1.282051282051282,"['Chicken', 'Combo']",N/A
"6"" Cold Cut Combo",330.0,0.0,10.0,3.0,0.0,45.0,,43.0,3.0,5,Subway,1.5151515151515151,['Combo'],N/A
"6"" Grilled Chicken",300.0,0.0,5.0,1.0,0.0,50.0,570.0,40.0,4.0,6,Subway,2.0,"['Chicken', 'Combo']",N/A
"6"" Meatball Marinara",460.0,0.0,20.0,8.0,0.0,40.0,,52.0,4.0,7,Subway,1.5217391304347827,['Combo'],N/A
"6"" Oven Roasted Turkey",270.0,0.0,4.0,1.0,0.0,25.0,810.0,40.0,4.0,6,Subway,2.2222222222222223,['Combo'],N/A
"6"" Oven Roasted Turkey and Ham",280.0,0.0,4.0,1.0,0.0,25.0,830.0,41.0,4.0,7,Subway,2.5,['Combo'],N/A
"6"" Pizza Sub",470.0,0.0,24.0,11.0,1.0,60.0,,46.0,3.0,6,Subway,1.276595744680851,['Combo'],N/A
"6"" Roast Beef",300.0,0.0,4.0,1.0,0.0,35.0,780.0,42.0,4.0,7,Subway,2.3333333333333335,['Combo'],N/A
"6"" Rotisserie-Style Chicken",310.0,0.0,6.0,2.0,0.0,50.0,750.0,40.0,4.0,6,Subway,1.935483870967742,"['Chicken', 'Combo']",N/A
"6"" Steak with American Cheese",370.0,0.0,10.0,5.0,0.0,65.0,,42.0,2.0,4,Subway,1.0810810810810811,"['Beverage', 'Combo']",N/A
"6"" Tuna",480.0,0.0,25.0,5.0,0.0,40.0,700.0,42.0,3.0,5,Subway,1.0416666666666665,['Combo'],N/A
"6"" Veggie Delite",220.0,0.0,3.0,1.0,0.0,0.0,360.0,40.0,4.0,6,Subway,2.727272727272727,"['Breakfast', 'Combo']",N/A
"6"" Veggie Patty",390.0,0.0,12.0,2.0,0.0,0.0,680.0,57.0,12.0,8,Subway,2.051282051282051,"['Breakfast', 'Combo']",N/A
Kids Mini Black Forest Ham,180.0,0.0,3.0,1.0,0.0,15.0,480.0,28.0,3.0,4,Subway,2.2222222222222223,['Other'],N/A
Kids Mini Oven Roasted Turkey,170.0,0.0,3.0,0.0,0.0,15.0,470.0,27.0,3.0,4,Subway,2.3529411764705883,['Other'],N/A
Kids Mini Veggie Delite,140.0,0.0,2.0,0.0,0.0,0.0,240.0,27.0,3.0,4,Subway,2.857142857142857,['Breakfast'],N/A
